AREA_NAME,average_income
City of Toronto,77807.80670985741
Agincourt North,73542.56925863991
Agincourt South-Malvern West,71877.11581649022
Alderwood,89981.64301430143
Annex,87339.2719647899
Banbury-Don Mills,88845.77220812182
Bathurst Manor,80129.82849936948
Bay Street Corridor,71952.3823001794
Bayview Village,80336.77553876294
Bayview Woods-Steeles,88316.57817589576
Bedford Park-Nortown,114144.03081481482
Beechborough-Greenbrook,57057.622958693566
Bendale,70673.48410547068
Birchcliffe-Cliffside,83003.11785023488
Black Creek,54372.54758596735
Blake-Jones,79731.30343980344
Briar Hill-Belgravia,68532.52833556448
Bridle Path-Sunnybrook-York Mills,142173.72138314784
Broadview North,65957.56439909297
Brookhaven-Amesbury,62159.52930832357
Cabbagetown-South St. James Town,75116.48120751699
Caledonia-Fairbank,72586.07063711912
Casa Loma,101715.4126606378
Centennial Scarborough,110376.33180515759
Church-Yonge Corridor,68572.06199809446
Clairlea-Birchmount,75655.7765255635
Clanton Park,81079.29338521401
Cliffcrest,82714.05347132384
Corso Italia-Davenport,79439.43129948765
Danforth,88044.28080415045
Danforth East York,87054.41820151679
Don Valley Village,74224.29984443868
Dorset Park,65403.89471403813
Dovercourt-Wallace Emerson-Junction,73653.06897127589
Downsview-Roding-CFB,67302.27873618918
Dufferin Grove,69662.40735502122
East End-Danforth,81256.14021164022
Edenbridge-Humber Valley,95150.79070239545
Eglinton East,62008.66243573265
Elms-Old Rexdale,67414.52450592886
Englemount-Lawrence,72231.3894916305
Eringate-Centennial-West Deane,92262.78629329403
Etobicoke West Mall,72033.97192884937
Flemingdon Park,57854.16617063492
Forest Hill North,87240.15845070423
Forest Hill South,104832.13058151609
Glenfield-Jane Heights,61728.903357070194
Greenwood-Coxwell,79661.45294616363
Guildwood,92358.70316455697
Henry Farm,67258.63539898132
High Park North,79114.82915397234
High Park-Swansea,92296.0114117647
Highland Creek,102382.45041322314
Hillcrest Village,79766.4003215434
Humber Heights-Westmount,79270.16177370031
Humber Summit,71273.00064808814
Humbermede,66442.68661616162
Humewood-Cedarvale,79668.35248143807
Ionview,61415.18100890208
Islington-City Centre West,80956.51195824525
Junction Area,81873.72179650915
Keelesdale-Eglinton West,67113.48723404255
Kennedy Park,60269.33036750484
Kensington-Chinatown,59989.617656012175
Kingsview Village-The Westway,70500.65344433562
Kingsway South,127199.8808180536
Lambton Baby Point,94899.6341761827
L'Amoreaux,69839.18190346239
Lansing-Westgate,92831.48145933014
Lawrence Park North,123780.65447726207
Lawrence Park South,125172.97062720849
Leaside-Bennington,118436.34615384616
Little Portugal,74147.14330218069
Long Branch,72387.2765900588
Malvern,70921.22858763472
Maple Leaf,74252.36733238232
Markland Wood,94481.63468309859
Milliken,74244.21525479815
Mimico (includes Humber Bay Shores),76507.80056669573
Morningside,70601.60318499127
Moss Park,66514.66960651289
Mount Dennis,59003.43753074275
Mount Olive-Silverstone-Jamestown,62331.80814700591
Mount Pleasant East,101710.17602739726
Mount Pleasant West,71370.14677322976
New Toronto,65492.60266793711
Newtonbrook East,77354.91345311131
Newtonbrook West,69503.779788173
Niagara,83622.34725455292
North Riverdale,98466.18644931227
North St. James Town,50883.066301369865
Oakridge,50007.99344978166
Oakwood Village,70552.38371411833
O'Connor-Parkview,73560.77367879204
Old East York,87071.38918737408
Palmerston-Little Italy,81708.88483259379
Parkwoods-Donalda,75631.85025966533
Pelmo Park-Humberlea,83775.05790190736
Playter Estates-Danforth,88116.93951324266
Pleasant View,79391.06038086391
Princess-Rosethorn,123694.37607119314
Regent Park,54732.631868131866
Rexdale-Kipling,70554.14205298013
Rockcliffe-Smythe,63150.33398931684
Roncesvalles,76470.8259411107
Rosedale-Moore Park,110828.40404430706
Rouge,95011.27275291464
Runnymede-Bloor West Village,109455.79144562334
Rustic,59341.613227146816
Scarborough Village,60890.831400343646
South Parkdale,52238.35389167046
South Riverdale,85479.72945785684
St.Andrew-Windfields,107339.12073806659
Steeles,75395.93401181878
Stonegate-Queensway,93962.43229294667
Tam O'Shanter-Sullivan,69174.63705583756
Taylor-Massey,55114.25717213115
The Beaches,103702.88920454546
Thistletown-Beaumond Heights,74614.30123266565
Thorncliffe Park,55245.494897959186
Trinity-Bellwoods,83698.00464166357
University,75930.58874801901
Victoria Village,62395.59421544856
Waterfront Communities-The Island,85121.31546854942
West Hill,65649.97582890408
West Humber-Clairville,77188.24776785714
Westminster-Branson,63513.35837284751
Weston,57608.60288687479
Weston-Pelham Park,67417.07074340527
Wexford/Maryvale,71798.07398087569
Willowdale East,76856.24684093162
Willowdale West,77180.86913712854
Willowridge-Martingrove-Richview,81509.17771173848
Woburn,65092.639143730885
Woodbine Corridor,85049.41229698376
Woodbine-Lumsden,80729.52274394718
Wychwood,78947.63764654798
Yonge-Eglinton,94120.2166970803
Yonge-St.Clair,93263.05678059538
York University Heights,63498.48560142711
Yorkdale-Glen Park,75374.33698238934
