_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,geometry
1,1,2020,Appleton Ave. Community Organization,Appleton Ave. Pollinator Corridor,Multiple Front Yard Gardens,18,1250.0,92,None,Private Residential Property,14 Appleton Avenue,M6E 3A4,N,Davenport,9,MULTIPOINT (-79.43796221 43.67956399)
2,2,2020,Centre for Immigrant and Community Services (CICS),The ENRICH Pollinator Garden,Communal Garden,4,114.25,128,None,Centre for Immigrant and Community Services,2330 Midland Avenue,M1S 5G5,N,Scarborough-Agincourt,22,MULTIPOINT (-79.2760134 43.77838864)
3,3,2020,Chester School Pollinator Garden Team,Chester School Pollinator Garden,School Learning Garden,1,34.0,57,None,Chester Elementary School,115 Gowan Avenue,M4K 2E4,N,Toronto-Danforth,14,MULTIPOINT (-79.35170998 43.68760238)
4,4,2020,CSPC - Transfiguration,Transfiguration Pollinator Garden,School Learning Garden,1,22.0,7,None,Transfiguration of Our Lord Catholic School,55 Ludstone Drive,M9R 2J2,N,Etobicoke Centre,2,MULTIPOINT (-79.56287403 43.69152984)
5,5,2020,Danforth Gardens Neighbourhood Association,Danforth Gardens Neighbourhood Pollinator Corridor,Multiple Front Yard Gardens,7,28.0,120,None,Private Residential Property,64 Clapperton Avenue,M1L 4K7,N,Scarborough Southwest,20,MULTIPOINT (-79.27634928 43.71211445)
6,6,2020,David Hornell Junior School & Mimico Residents Association,David Hornell Pollinator Gardens,School Learning Garden,3,111.0,161,None,David Hornell Junior Public School,32 Victoria Street,M8V 1M6,N,Etobicoke-Lakeshore,3,MULTIPOINT (-79.48889366 43.61933328)
7,7,2020,Evergreen,Pollinator Revitalization Project,Communal Garden,6,123.0,56,None,Evergreen Brick Works,550 Bayview Avenue,M4W 3X8,N,University-Rosedale,11,MULTIPOINT (-79.36562797 43.68378335)
8,8,2020,FJR Pollinator Project,FJR Pollinator Garden,School Learning Garden,3,46.5,18,None,Father John Redmond Catholic Secondary School and Regional Arts Centre,28 Colonel Samuel Smith Park Drive,M8V 4B6,N,Etobicoke-Lakeshore,3,MULTIPOINT (-79.51653877 43.59514135)
9,9,2020,Garrison Creek Park Community Garden (GCPCG),Garrison Creek Park Pollinator Gardens,City Park,3,48.0,94,None,Garrison Creek Park,1090 Shaw Street,M6G 4B4,N,Toronto-St. Paul's,12,MULTIPOINT (-79.42730545 43.67169486)
10,10,2020,George Chuvalo Community Center & Christie Ossington Neighbourhood Center,GCCC Gardens,Communal Garden,2,34.0,171,None,George Chuvalo Community Center,50 Sousa Mendes Street,M6P 3Z5,N,Davenport,9,MULTIPOINT (-79.45403412 43.66179166)
11,11,2020,Green Thumbs Growing Kids,Flower Power,School Learning Garden,3,5260.0,74,None,Rose Avenue Junior Public School,675 Ontario Street,M4X 1N4,N,Toronto Centre,13,MULTIPOINT (-79.3727881 43.67031647)
12,12,2020,Greenland Pollinator Garden,Greenland Public School & Community Pollinator Waystation,School Learning Garden,1,37.2,42,None,Greenland Public School,15 Greenland Road,M3C 1N1,N,Don Valley East,16,MULTIPOINT (-79.33853616 43.73361563)
13,13,2020,Harbord Collegiate PARA Pollinator Gardens,Harbord Collegiate Pollinator Garden,School Learning Garden,3,191.0,80,None,Harbord Collegiate Institute,286 Harbord Street,M6G 1G5,N,University-Rosedale,11,MULTIPOINT (-79.41426662 43.66128952)
14,14,2020,Hopewell Community Garden,Hopewell Pollinator Garden,City Park,1,475.0,108,None,Walter Saunders Memorial Park,440 Hopewell Avenue,MHX 2WX,N,Eglinton-Lawrence,8,MULTIPOINT (-79.44716023 43.69993135)
15,15,2020,King George Junior Public School Parent Council,King George Pollinator Garden,School Learning Garden,1,4.5,89,None,King George Junior Public School ,25 Rexford Road,M6S 2M2,N,Parkdale-High Park,4,MULTIPOINT (-79.48688675 43.66316269)
16,16,2020,Naadmaagit Ki (NKG) âHelpers of the Earthâ,"Aamoog, Memengwaag miinwaa Nenookaasiwag (Bees, Butterflies & Hummingbirds)",Spiritual Centre Garden,1,140.0,84,None,St. Anne's Anglican Church,270 Gladstone Avenue,M6J 3L6,Y,Davenport,9,MULTIPOINT (-79.43053046 43.65065616)
17,17,2020,Neighbours4Nectar,Neighbours4Nectar,Multiple Front Yard Gardens,7,43.75,60,None,Private Residential Property,32 Westbrook Avenue,M4C 2G4,N,Beaches-East York,19,MULTIPOINT (-79.30704302 43.69349851)
18,18,2020,Rain Gardens United (RGU),Greenwood Pollinator Gardens Phase 1 â Rain Gardens,Boulevard Garden,3,42.6,70,None,Private Residential Property,166 Alton Avenue,M4L 2M5,N,Toronto-Danforth,14,MULTIPOINT (-79.33010164 43.6682729)
19,19,2020,Ravina Community Garden,Ravina Community Garden Pollinator Project,City Park,1,78.8,88,None,Ravina Gardens,290 Clendenan Avenue,M1P 4N7,N,Parkdale-High Park,4,MULTIPOINT (-79.47154608 43.65906088)
20,20,2020,Regenesis,Pollinate UTSC,School Learning Garden,4,70.0,134,None,"University of Toronto Scarborough, Joan Foley Hall
",1265 Military Trail,M1C 1A4,N,Scarborough-Rouge Park,25,MULTIPOINT (-79.18628948 43.78388685)
21,21,2020,Resurrection Garden,Resurrection Garden,Spiritual Centre Garden,7,28.0,59,None,Church of the Ressurection,1100 Woodbine Avenue,M4C 4C7,N,Beaches-East York,19,MULTIPOINT (-79.31478944 43.68908621)
22,22,2020,Rouge Valley Foundation,Bombus Native Garden Project,Communal Garden,4,73.0,144,None,Rouge Valley Conservation Centre,1749 Meadowvale Road,M1B 5W8,N,Scarborough-Rouge Park,25,MULTIPOINT (-79.17100139 43.81903673)
23,23,2020,Scarborough Arts,Pollinator Art - Planting and Botanical Illustration Program,City Park,1,46.5,122,None,Scarborough Arts,1859 Kingston Road,M1N 3J7,N,Scarborough Southwest,20,MULTIPOINT (-79.25878546 43.69539466)
24,24,2020,Scarborough Bluffs Community Association,Bluffs Pollinator Garden,City Park,1,35.0,122,None,Sandown Park,50 Natal Avenue,M1N 3V4,N,Scarborough Southwest,20,MULTIPOINT (-79.25303103 43.71001685)
25,25,2020,St. Wilfrid Catholic School ECO Rangers,School Grounds Greening Project,School Learning Garden,3,11.5,27,NIA,St. Wilfrid Catholic School,1685 Finch Avenue West,M3J 2G8,N,Humber River-Black Creek,7,MULTIPOINT (-79.50259411 43.76004594)
26,26,2020,"Stonegate Community Health Centre, Bell Manor Park Community Garden & ArtsEtobicoke Pollinator Garden Partnership",Bell Manor Park Community Pollinator Garden,City Park,1,46.5,16,None,Bell Manor Park,1 Bayside Lane,M8Y 1Y9,N,Etobicoke-Lakeshore,3,MULTIPOINT (-79.49246503 43.6376796)
27,27,2020,Sunshine Centre for Seniors,Sunshine Pollinator Gardens: Seniors and Youth Bee-utify Our Community,City Park,3,6.6,166,None,Sunshine Centre for Seniors,60 Lakeshore Avenue,M5J 1X8,N,Spadina-Fort York,10,MULTIPOINT (-79.3553871 43.62876317)
28,28,2020,The Argonaut Rowing Club,Argonaut Growing Club Pollinator Project,Communal Garden,1,140.0,85,NIA,The Argonaut Rowing Club,1225 Lake Shore Boulevard West,M6K 3C1,N,Parkdale-High Park,4,MULTIPOINT (-79.43605117 43.63214232)
29,29,2020,The Bain Co-op Pollinator Working Group,The Bain Butterfly Way Project,Multiple Front Yard Gardens,5,36.4,68,None,Bain Co-op,100 Bain Avenue,M4K 1E8,N,Toronto-Danforth,14,MULTIPOINT (-79.34884772 43.67206024)
30,30,2020,The Toronto Heschel School,Project Nectar,School Learning Garden,6,18.0,33,None,The Toronto Heschel School,819 Sheppard Avenue West,M3H 2T3,N,York Centre,6,MULTIPOINT (-79.45084829 43.75233957)
31,31,2020,Toronto Chinese Mennonite Church Community Garden,Toronto Chinese Mennonite Church Community Garden,Spiritual Centre Garden,1,24.2,59,None,Toronto Chinese Mennonite Church,1038 Woodbine Avenue,M4C 4C4,N,Beaches-East York,19,MULTIPOINT (-79.31388156 43.68744236)
32,32,2020,Wandering Spirit School Parent Council,Gitigaan,School Learning Garden,2,55.0,69,None,Wandering Spirit School,16 Phin Avenue,M4J 3T2,Y,Toronto-Danforth,14,MULTIPOINT (-79.33663606 43.67914024)
33,33,2020,Windermere United Church and Friends' Pollinator Project,Windermere United Church and Friends' Pollinator Project,Spiritual Centre Garden,4,18.6,87,None,Windermere United Church,356 Windermere Avenue,M6S 3L3,N,Parkdale-High Park,4,MULTIPOINT (-79.48042415 43.64880572)
34,34,2021,757 Gardening Committee,Bee Kind Pollinator Rockery Garden,Multi-Residential Garden,1,84.0,121,NIA,Metropolitan Toronto Condo,757 Victoria Park Avenue,M1L 4P2,N,Scarborough Southwest,20,MULTIPOINT (-79.2882894 43.69241898)
35,35,2021,75th Old Mill Scouts,75th Old Mill Toronto Pollinator Garden,Spiritual Centre Garden,1,48.0,89,None,St. Paul's Anglican Church,404 Willard Avenue,M6S 3R5,N,Parkdale-High Park,4,MULTIPOINT (-79.4839622 43.65545888)
36,36,2021,Agincourt Community Services Association (ACSA),Chester Le Pollinator Pad,City Park,1,55.0,147,EN,Chester Le Park,255 Chester Le Boulevard,M1W 2N4,N,Scarborough-Agincourt,22,MULTIPOINT (-79.33226028 43.79968137)
37,37,2021,CALC Secondary School,CALC Secondary Pollinator Garden,School Learning Garden,1,100.0,68,None,City Adult Learning Centre,1 Danforth Avenue,M4K 1M8,N,Toronto-Danforth,14,MULTIPOINT (-79.3600608 43.67491945)
38,38,2021,Flemingdon Park Ministry,The Common Table Farm Labyrinth & Pollinator Garden,Spiritual Centre Garden,1,180.0,149,None,Flemingdon Park Ministry,1 Laurentide Drive,M4R 1A7,N,Don Valley East,16,MULTIPOINT (-79.33718465 43.75164099)
39,39,2021,FoodShare Toronto,Flemo Farm Pollinator Corridor Project,Communal Garden,1,47.0,44,NIA,FoodShare Flemo Farm,150 Grenoble Drive,M3A 3C6,N,Don Valley East,16,MULTIPOINT (-79.32660348 43.71353072)
40,40,2021,Fr. Henry Carr Environmental Club,Pollinator Garden,School Learning Garden,1,100.0,1,None,Father Henry Carr Catholic Secondary School,1760 Martin Grove Road,M3C 1E3,N,Etobicoke-North,1,MULTIPOINT (-79.5923867 43.73578369)
41,41,2021,Friends of Allan Gardens,The Pollinator Playground at Allan Gardens,City Park,1,15.0,73,None,Allan Gardens,19 Horticultural Avenue,M9V 3S4,N,Toronto Centre,13,MULTIPOINT (-79.37480223 43.661419)
42,42,2021,Friends of Guild Park / Guildwood Butterflyway Project,Guild Park Pollinator Garden,City Park,1,40.0,140,None,Guild Park,201 Guildwood Parkway,M5A 2P2,N,Scarborough-Guildwood,24,MULTIPOINT (-79.19166629 43.74771606)
43,43,2021,Garden Club of Toronto,Metropolitan United Church Pollinator Garden,Spiritual Centre Garden,2,166.0,168,None,Metropolitan United Church,56 Queen Street East,M1E 1P5,N,Toronto Centre,13,MULTIPOINT (-79.37666025 43.65385432)
44,44,2021,Harmony Community Food Centre,The Harmony Pollinator Garden,Communal Garden,9,12.0,54,None,Harmony Community Food Centre,2 Gower Street,M5C 2Z3,N,Beaches-East York,19,MULTIPOINT (-79.29893272 43.7021797)
45,45,2021,Indigenous Peoples Solidarity Group (IPSG),Right Relations Garden,Spiritual Centre Garden,7,140.0,94,None,St. Matthew's United Church,729 St. Clair Avenue West,M4B 1E2,Y,Toronto-St. Paul's,12,MULTIPOINT (-79.42747455 43.68113281)
46,46,2021,JBV Gardening Committee,Pollinating South Parkdale: A Cooperative Community Garden,Multi-Residential Garden,1,172.0,85,NIA,John Bruce Village Cooperative,18 Elm Grove Avenue,M6G 3J4,N,Parkdale-High Park,4,MULTIPOINT (-79.43130385 43.63920895)
47,47,2021,John A Leslie Parent Council,JAL Bee-utiful Garden Expansion Project,School Learning Garden,4,38.0,123,None,John A Leslie Public School,459 Midland Avenue,M1N 4A7,N,Scarborough Southwest,20,MULTIPOINT (-79.24905937 43.71410868)
48,48,2021,Lambton Park Community School,Lambton Park Environmental Learning Garden,School Learning Garden,1,19.0,111,NIA,Lambton Park Community School,50 Bernice Crescent,M6K 2J1,N,York South-Weston,5,MULTIPOINT (-79.49831076 43.66758456)
49,49,2021,Malvern Family Resource Centre,Eco-Learning Pollinator Garden,Communal Garden,1,2023.0,143,None,Malvern Family Resource Centre,90 Littles Road,M6N 1W9,N,Scarborough-Rouge Park,25,MULTIPOINT (-79.20528668 43.81829229)
50,50,2021,Monarch Park Pollinator Partners (MPPP),Monarch Park Collegiate Institute Pollinator Gardens,School Learning Garden,3,62.0,65,None,Monarch Park Collegiate Institute,1 Hanson Street,M1B 5E2,N,Toronto-Danforth,14,MULTIPOINT (-79.32277189 43.67928073)
51,51,2021,OCAD University,Friendship Community Garden,School Learning Garden,1,81.0,78,None,OCAD University,100 McCaul Street,M4J 1G6,N,Spadina-Fort York,10,MULTIPOINT (-79.39120499 43.65300337)
52,52,2021,Scadding Court Community Centre & Friends of Alexandra Park,Alexandra Park Pollinator Power,City Park,2,35.0,78,None,Alexandra Park,275 Bathurst Street,M5T 1W1,N,Spadina-Fort York,10,MULTIPOINT (-79.40504191 43.65109968)
53,53,2021,Shirley Street Junior Public School Gardeners,Shirley Street Pollinator Garden,School Learning Garden,1,222.0,84,None,Shirley Street Junior Public School,38 Shirley Street,M5T 2S4,N,Davenport,9,MULTIPOINT (-79.43672217 43.64852423)
54,54,2021,South Parkdale Pollinators,Springhurst and Close Pollinator Corridor,Multiple Front Yard Gardens,9,75.0,85,NIA,Private Residential Property,78 Springhurst Avenue ,M6K 1C7,N,Parkdale-High Park,4,MULTIPOINT (-79.43286484 43.63383811)
55,55,2021,St. Angela Catholic School,Environment Club Pollinator Garden,School Learning Garden,1,10.0,2,NIA,St. Angela Catholic School,220 Mount Olive Drive,M6K 1B8,N,Etobicoke-North,1,MULTIPOINT (-79.59645051 43.75474566)
56,56,2021,St. Basil-the-Great College Pollinators,Pollinator Garden,School Learning Garden,1,100.0,23,None,St. Basil-the-Great College School,20 Starview Lane,M9M 3B2,N,Humber River-Black Creek,7,MULTIPOINT (-79.53332748 43.72770719)
57,57,2021,St. Cyril Parent Council,St.Cyril Pollinator Garden,School Learning Garden,1,40.0,37,None,St. Cyril Catholic School,18 Kempford Boulevard,M8Y 2Z7,N,Willowdale,18,MULTIPOINT (-79.41662798 43.77695352)
58,58,2021,St. Louis Catholic School,St. Louis Pollinator Garden,School Learning Garden,1,12.0,16,None,St. Louis Catholic School,11 Morgan Avenue,M2N 2B9,N,Etobicoke-Lakeshore,3,MULTIPOINT (-79.5009257 43.62648617)
59,59,2021,Sustainability at Centennial,Pollinators at Progress,School Learning Garden,1,230.0,142,NIA,Centennial College,941 Progress Avenue,M1G 3T8,N,Scarborough-Guildwood,24,MULTIPOINT (-79.22702643 43.78526466)
60,60,2021,Taddlewood Heritage Association,"Butterfly Entrance, Wychwood Barns Park",Boulevard Garden,1,20.0,94,None,Wychwood Barns Park,18 Slade Avenue,M6G 3A1,N,Toronto-St. Paul's,12,MULTIPOINT (-79.42378248 43.67924447)
61,61,2021,The Neighbourhood Organization (TNO),TNO Pollinator Garden,City Park,1,19.0,55,NIA,Leaside Park,5 Leaside Park Drive ,M9V 3Z5,N,Don Valley West,15,MULTIPOINT (-79.34983662 43.7023173)
62,62,2021,Thorncliffe Park Women's Committee,Thorncliffe Pollinator Garden,City Park,2,400.0,55,NIA,RV Burgess Park,46 Thorncliffe Park Drive,M4H 1K2,N,Don Valley West,15,MULTIPOINT (-79.34276179 43.70278664)
63,63,2021,Toronto Birth Centre,TâKaranto Ondaadizi-Gamig Mushkiki Gitigaan - Toronto Birth Centre Medicine Garden,Communal Garden,1,5.0,72,NIA,Regent Park Community Garden,Sackville Street,M5A 3G1,Y,Toronto Centre,13,MULTIPOINT (-79.36307503 43.66101778)
64,64,2021,Toronto Green Community,Eglinton Park Community Garden,City Park,1,500.0,100,None,North Toronto Memorial Community Centre,200 Eglinton Avenue West,M5A 2C6,N,Eglinton-Lawrence,8,MULTIPOINT (-79.40462301 43.70610583)
65,65,2021,Woburn JR. P. S.,Woburn JR P. S. Pollinator Garden,School Learning Garden,6,5.0,142,NIA,Woburn Junior Public School,40 Dormington Drive,M1G 3N2,N,Scarborough-Guildwood,24,MULTIPOINT (-79.22700167 43.77950279)
66,66,2022,All Saints Pollinators,All Saints Pollinator Garden,Spiritual Centre Garden,3,90.4,73,None,All Saints Church-Community Centre,315 Dundas Street East,"
M5A 2A2
",N,Toronto Centre,13,MULTIPOINT (-79.37082045 43.65818808)
67,67,2022,Braeburn Neighbourhood Place & Boys and Girls Club,Braeburn Kids Are Making a Difference!,Communal Garden,1,65.0,5,NIA,Braeburn Neighbourhood Place,75 Tandridge Crescent,M9W 2N9,N,Etobicoke North,1,MULTIPOINT (-79.5467221 43.72888127)
68,68,2022,Carlton Park Pollinators ,Carlton Park Pollinator Patch,City Park,1,24.0,171,None,Carlton Park,20 Edith Avenue,M6P 3T5,N,Davenport,9,MULTIPOINT (-79.45491152 43.66627055)
69,69,2022,Corktown Residents and Business Association,Corktown Community Pollinator Garden,City Park,1,139.3,73,None,Sackville Playground,5 Ashby Place,M5A 1L4,N,Toronto Centre,13,MULTIPOINT (-79.35784443 43.65634336)
70,70,2022,Cornell's Butterfly Garden,Cornell's Butterfly Garden,School Learning Garden,1,148.6,141,NIA,Cornell Junior Public School,61 Holmfirth Terrace,M1G 1G8,N,Scarborough-Guildwood,24,MULTIPOINT (-79.21803822 43.75939257)
71,71,2022,Green Industries Program at David and Mary Thomson Collegiate Institute,David and Mary Thomson Pollinator Garden,School Learning Garden,1,224.0,156,None,David and Mary Thomson Collegiate Institute,125 Brockley Drive,M1P 0E3,N,Scarborough Centre,21,MULTIPOINT (-79.26340127 43.75567005)
72,72,2022,Dewson Street Junior Public School,Dewson Pollinator Gardens,School Learning Garden,1,185.8,80,None,Dewson Street Junior Public School,65 Concord Avenue,M6H 2N9,N,Davenport,9,MULTIPOINT (-79.42405443 43.65567509)
73,73,2022,Eastview Gardeners,Eastview Gardeners,School Learning Garden,1,41.8,136,NIA,Eastview Public School,20 Waldock Street,M1E 2E5,N,Scarborough-Guildwood,24,MULTIPOINT (-79.19128044 43.75896336)
