Characteristic,_id,Category,Topic
"    $100,000 to $124,999",2101,Income,Income of households in 2015
"    $125,000 to $149,999",2109,Income,Income of households in 2015
"    $150,000 to $199,999",1343,Income,Income of households in 2015
"    $200,000 and over",1054,Income,Income of households in 2015
"  $10,000 to $14,999",2099,Income,Income of households in 2015
"  $100,000 and over",2124,Income,Income of households in 2015
"  $15,000 to $19,999",2081,Income,Income of households in 2015
"  $20,000 to $24,999",2102,Income,Income of households in 2015
"  $25,000 to $29,999",2104,Income,Income of households in 2015
"  $30,000 to $34,999",2106,Income,Income of households in 2015
"  $35,000 to $39,999",2108,Income,Income of households in 2015
"  $40,000 to $44,999",2110,Income,Income of households in 2015
"  $45,000 to $49,999",2112,Income,Income of households in 2015
"  $5,000 to $9,999",2097,Income,Income of households in 2015
"  $50,000 to $59,999",2114,Income,Income of households in 2015
"  $60,000 to $69,999",2116,Income,Income of households in 2015
"  $70,000 to $79,999",2118,Income,Income of households in 2015
"  $80,000 to $89,999",2120,Income,Income of households in 2015
"  $90,000 to $99,999",2122,Income,Income of households in 2015
Income statistics: Total - Population aged 15 years and over,2264,Income,Income of households in 2015
